seconds,active_clients,client_names
52,79,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1224|tester14|tester15|tester16|tester19|tester2|tester21|tester22|tester23|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
53,82,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1224|tester14|tester15|tester16|tester18|tester19|tester2|tester20|tester21|tester22|tester23|tester25|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
54,83,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1224|tester14|tester15|tester16|tester18|tester19|tester2|tester20|tester21|tester22|tester23|tester25|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester426|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
55,86,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1224|tester13|tester14|tester15|tester16|tester18|tester19|tester2|tester20|tester21|tester22|tester23|tester25|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester425|tester426|tester427|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
56,86,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1224|tester13|tester14|tester15|tester16|tester18|tester19|tester2|tester20|tester21|tester22|tester23|tester25|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester425|tester426|tester427|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
57,87,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1224|tester13|tester14|tester15|tester16|tester18|tester19|tester2|tester20|tester21|tester22|tester23|tester25|tester26|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester425|tester426|tester427|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
58,88,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1212|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1224|tester13|tester14|tester15|tester16|tester18|tester19|tester2|tester20|tester21|tester22|tester23|tester25|tester26|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester425|tester426|tester427|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
59,90,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1212|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1223|tester1224|tester13|tester14|tester15|tester16|tester18|tester19|tester2|tester20|tester21|tester22|tester23|tester25|tester26|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester425|tester426|tester427|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester812|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
60,92,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1212|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1223|tester1224|tester1227|tester13|tester14|tester15|tester16|tester18|tester19|tester2|tester20|tester21|tester22|tester23|tester25|tester26|tester29|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester425|tester426|tester427|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester812|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
61,93,UNDEF|tester0|tester1|tester11|tester1200|tester1201|tester1202|tester1203|tester1204|tester1205|tester1206|tester1208|tester1209|tester1210|tester1211|tester1212|tester1213|tester1214|tester1217|tester1218|tester1219|tester1221|tester1222|tester1223|tester1224|tester1227|tester13|tester14|tester15|tester16|tester18|tester19|tester2|tester20|tester21|tester22|tester23|tester25|tester26|tester29|tester3|tester4|tester400|tester401|tester402|tester403|tester404|tester405|tester406|tester407|tester408|tester409|tester410|tester411|tester412|tester413|tester414|tester415|tester417|tester418|tester419|tester420|tester421|tester422|tester423|tester425|tester426|tester427|tester5|tester6|tester7|tester8|tester800|tester801|tester802|tester803|tester804|tester805|tester806|tester807|tester808|tester809|tester810|tester812|tester813|tester814|tester815|tester817|tester819|tester820|tester821|tester822|tester823
